"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C394";"B001";"26/01/2021 21:37:32";"D008";"Comida Preparada";"Lentejas";"1"
"C391";"B014";"26/01/2021 21:37:01";"D002";"Comida Preparada";"Pollo con verduras";"1"
"C391";"B001";"26/01/2021 21:36:15";"D002";"Comida Preparada";"Pollo con verduras";"2"
"C389";"B004";"26/01/2021 21:35:22";"D001";"Comida Preparada";"Morcilla";"2"
"C389";"B007";"26/01/2021 21:34:41";"D001";"Comida Preparada";"Morcilla";"1"
"C390";"B007";"26/01/2021 21:33:13";"D001";"Comida Preparada";"Garbanzos con carne";"1"
"C390";"B004";"26/01/2021 21:32:27";"D001";"Comida Preparada";"Garbanzos con carne";"1"
"C337";"B014";"26/01/2021 20:33:55";"D003";"Comida Preparada";"Espaguetis con gambas";"2"
"C361";"B012";"26/01/2021 20:31:16";"D012";"Alimentos frescos";"Fruta y verdura";"1"
"C373";"B012";"26/01/2021 20:30:24";"D013";"Comida Preparada";"Paella";"2"
"C374";"B011";"26/01/2021 20:28:43";"D006";"Alimentos frescos";"Frutas y verduras";"1"
"C379";"B011";"26/01/2021 20:28:10";"D015";"Bollos";"Empanadillas ";"1"
"C381";"B004";"26/01/2021 20:22:07";"D006";"Alimentos frescos";"Fruta y verdura";"1"
"C386";"B011";"26/01/2021 20:21:29";"D001";"Comida Preparada";"Guisantes";"1"
"C387";"B004";"26/01/2021 20:20:20";"D001";"Comida Preparada";"Filetes pollo";"2"
"C70";"B007";"26/01/2021 20:19:24";"D014";"Alimentos frescos";"Fruta y verdura";"1"
"C95";"B007";"26/01/2021 20:18:52";"D003";"Comida Preparada";"Pure";"1"
"C371";"B007";"26/01/2021 20:17:21";"D008";"Comida Preparada";"paella";"1"
"C378";"B001";"26/01/2021 20:16:20";"D012";"Alimentos frescos";"Fruta y verdura";"2"
"C386";"B001";"26/01/2021 20:15:48";"D001";"Comida Preparada";"Guisantes";"1"
"C384";"B001";"26/01/2021 20:13:00";"D001";"Comida Preparada";"Escalopes";"2"
"C381";"B012";"25/01/2021 22:13:19";"D006";"Alimentos frescos";"fruta y verdura";"4"
"C381";"B007";"25/01/2021 22:12:52";"D006";"Alimentos frescos";"fruta y verdura";"2"
"C378";"B004";"25/01/2021 22:12:22";"D012";"Alimentos frescos";"fruta y verdura";"3"
"C378";"B001";"25/01/2021 22:12:02";"D012";"Alimentos frescos";"fruta y verdura";"3"
"C385";"B012";"25/01/2021 22:09:50";"D002";"Comida preparada";"paella";"4"
